[2026-01-22 16:22:48] ============================================================
[2026-01-22 16:22:48] Updater started
[2026-01-22 16:22:48] Download URL: https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe
[2026-01-22 16:22:48] Target EXE: C:\Scr\TVL\dist\PreservationApp.exe
[2026-01-22 16:22:48] Version: 1.0.0
[2026-01-22 16:22:48] Expected SHA256: 758B2000587DBDE3...
[2026-01-22 16:22:48] Waiting for PreservationApp.exe to exit...
[2026-01-22 16:22:49] PreservationApp.exe has exited
[2026-01-22 16:22:50] Backup created: C:\Scr\TVL\dist\PreservationApp.exe.backup
[2026-01-22 16:22:50] Downloading from https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe...
[2026-01-22 16:23:11] Downloaded 21299200/39971592 bytes (53.3%)
[2026-01-22 16:23:12] Downloaded 21381120/39971592 bytes (53.5%)
[2026-01-22 16:23:12] Downloaded 21463040/39971592 bytes (53.7%)
[2026-01-22 16:23:12] Downloaded 21544960/39971592 bytes (53.9%)
[2026-01-22 16:23:12] Downloaded 21626880/39971592 bytes (54.1%)
[2026-01-22 16:23:12] Downloaded 21708800/39971592 bytes (54.3%)
[2026-01-22 16:23:12] Downloaded 21790720/39971592 bytes (54.5%)
[2026-01-22 16:23:12] Downloaded 21872640/39971592 bytes (54.7%)
[2026-01-22 16:23:12] Downloaded 21954560/39971592 bytes (54.9%)
[2026-01-22 16:23:12] Downloaded 22036480/39971592 bytes (55.1%)
[2026-01-22 16:23:12] Downloaded 22118400/39971592 bytes (55.3%)
[2026-01-22 16:23:12] Downloaded 22200320/39971592 bytes (55.5%)
[2026-01-22 16:23:12] Downloaded 22282240/39971592 bytes (55.7%)
[2026-01-22 16:23:12] Downloaded 22364160/39971592 bytes (56.0%)
[2026-01-22 16:23:12] Downloaded 22446080/39971592 bytes (56.2%)
[2026-01-22 16:23:12] Downloaded 22528000/39971592 bytes (56.4%)
[2026-01-22 16:23:12] Downloaded 22609920/39971592 bytes (56.6%)
[2026-01-22 16:23:12] Downloaded 22691840/39971592 bytes (56.8%)
[2026-01-22 16:23:12] Downloaded 22773760/39971592 bytes (57.0%)
[2026-01-22 16:23:12] Downloaded 22855680/39971592 bytes (57.2%)
[2026-01-22 16:23:13] Downloaded 22937600/39971592 bytes (57.4%)
[2026-01-22 16:23:13] Downloaded 23019520/39971592 bytes (57.6%)
[2026-01-22 16:23:13] Downloaded 23101440/39971592 bytes (57.8%)
[2026-01-22 16:23:13] Downloaded 23183360/39971592 bytes (58.0%)
[2026-01-22 16:23:13] Downloaded 23265280/39971592 bytes (58.2%)
[2026-01-22 16:23:13] Downloaded 23347200/39971592 bytes (58.4%)
[2026-01-22 16:23:13] Downloaded 23429120/39971592 bytes (58.6%)
[2026-01-22 16:23:13] Downloaded 23511040/39971592 bytes (58.8%)
[2026-01-22 16:23:13] Downloaded 23592960/39971592 bytes (59.0%)
[2026-01-22 16:23:13] Downloaded 23674880/39971592 bytes (59.2%)
[2026-01-22 16:23:13] Downloaded 23756800/39971592 bytes (59.4%)
[2026-01-22 16:23:13] Downloaded 23838720/39971592 bytes (59.6%)
[2026-01-22 16:23:13] Downloaded 23920640/39971592 bytes (59.8%)
[2026-01-22 16:23:13] Downloaded 24002560/39971592 bytes (60.0%)
[2026-01-22 16:23:13] Downloaded 24084480/39971592 bytes (60.3%)
[2026-01-22 16:23:13] Downloaded 24166400/39971592 bytes (60.5%)
[2026-01-22 16:23:13] Downloaded 24248320/39971592 bytes (60.7%)
[2026-01-22 16:23:13] Downloaded 24330240/39971592 bytes (60.9%)
[2026-01-22 16:23:13] Downloaded 24412160/39971592 bytes (61.1%)
[2026-01-22 16:23:13] Downloaded 24494080/39971592 bytes (61.3%)
[2026-01-22 16:23:13] Downloaded 24576000/39971592 bytes (61.5%)
[2026-01-22 16:23:13] Downloaded 24657920/39971592 bytes (61.7%)
[2026-01-22 16:23:13] Downloaded 24739840/39971592 bytes (61.9%)
[2026-01-22 16:23:14] Downloaded 24821760/39971592 bytes (62.1%)
[2026-01-22 16:23:14] Downloaded 24903680/39971592 bytes (62.3%)
[2026-01-22 16:23:14] Downloaded 24985600/39971592 bytes (62.5%)
[2026-01-22 16:23:14] Downloaded 25067520/39971592 bytes (62.7%)
[2026-01-22 16:23:14] Downloaded 25149440/39971592 bytes (62.9%)
[2026-01-22 16:23:14] Downloaded 25231360/39971592 bytes (63.1%)
[2026-01-22 16:23:14] Downloaded 25313280/39971592 bytes (63.3%)
[2026-01-22 16:23:14] Downloaded 25395200/39971592 bytes (63.5%)
